"ID_SAEB","ID_REGIAO","ID_UF","ID_MUNICIPIO","ID_AREA","ID_ESCOLA","IN_PUBLICA","ID_LOCALIZACAO","ID_TURMA","ID_SERIE","ID_ALUNO","IN_SITUACAO_CENSO","IN_PREENCHIMENTO_LP","IN_PREENCHIMENTO_MT","IN_PRESENCA_LP","IN_PRESENCA_MT","ID_CADERNO_LP","ID_BLOCO_1_LP","ID_BLOCO_2_LP","ID_CADERNO_MT","ID_BLOCO_1_MT","ID_BLOCO_2_MT","TX_RESP_BLOCO1_LP","TX_RESP_BLOCO2_LP","TX_RESP_BLOCO1_MT","TX_RESP_BLOCO2_MT","IN_PROFICIENCIA_LP","IN_PROFICIENCIA_MT","IN_AMOSTRA","ESTRATO","PESO_ALUNO_LP","PROFICIENCIA_LP","ERRO_PADRAO_LP","PROFICIENCIA_LP_SAEB","ERRO_PADRAO_LP_SAEB","PESO_ALUNO_MT","PROFICIENCIA_MT","ERRO_PADRAO_MT","PROFICIENCIA_MT_SAEB","ERRO_PADRAO_MT_SAEB","IN_PREENCHIMENTO_QUESTIONARIO","IN_INSE","INSE_ALUNO","NU_TIPO_NIVEL_INSE","PESO_ALUNO_INSE","TX_RESP_Q01","TX_RESP_Q02","TX_RESP_Q03","TX_RESP_Q04","TX_RESP_Q05a","TX_RESP_Q05b","TX_RESP_Q05c","TX_RESP_Q06","TX_RESP_Q07a","TX_RESP_Q07b","TX_RESP_Q07c","TX_RESP_Q07d","TX_RESP_Q07e","TX_RESP_Q08","TX_RESP_Q09","TX_RESP_Q10a","TX_RESP_Q10b","TX_RESP_Q10c","TX_RESP_Q10d","TX_RESP_Q10e","TX_RESP_Q10f","TX_RESP_Q11a","TX_RESP_Q11b","TX_RESP_Q11c","TX_RESP_Q12a","TX_RESP_Q12b","TX_RESP_Q12c","TX_RESP_Q12d","TX_RESP_Q12e","TX_RESP_Q12f","TX_RESP_Q12g","TX_RESP_Q13a","TX_RESP_Q13b","TX_RESP_Q13c","TX_RESP_Q13d","TX_RESP_Q13e","TX_RESP_Q13f","TX_RESP_Q13g","TX_RESP_Q13h","TX_RESP_Q13i","TX_RESP_Q14","TX_RESP_Q15a","TX_RESP_Q15b","TX_RESP_Q16","TX_RESP_Q17","TX_RESP_Q18","TX_RESP_Q19","TX_RESP_Q20","TX_RESP_Q21a","TX_RESP_Q21b","TX_RESP_Q21c","TX_RESP_Q21d","TX_RESP_Q21e","TX_RESP_Q22a","TX_RESP_Q22b","TX_RESP_Q22c","TX_RESP_Q22d","TX_RESP_Q22e","TX_RESP_Q22f","TX_RESP_Q22g","TX_RESP_Q22h","TX_RESP_Q23a","TX_RESP_Q23b","TX_RESP_Q23c","TX_RESP_Q23d","TX_RESP_Q23e","TX_RESP_Q23f","TX_RESP_Q23g","TX_RESP_Q23h","TX_RESP_Q23i","TX_RESP_Q24","TX_RESP_Q25","TX_RESP_Q10a_num","TX_RESP_Q10b_num","TX_RESP_Q10c_num","TX_RESP_Q10d_num","TX_RESP_Q10e_num","TX_RESP_Q10f_num","TX_RESP_Q21a_num","TX_RESP_Q21b_num","TX_RESP_Q21c_num","TX_RESP_Q21d_num","TX_RESP_Q21e_num","TX_RESP_Q22a_num","TX_RESP_Q22b_num","TX_RESP_Q22c_num","TX_RESP_Q22d_num","TX_RESP_Q22e_num","TX_RESP_Q22f_num","TX_RESP_Q22g_num","TX_RESP_Q22h_num","TX_RESP_Q23a_num","TX_RESP_Q23b_num","TX_RESP_Q23c_num","TX_RESP_Q23d_num","TX_RESP_Q23e_num","TX_RESP_Q23f_num","TX_RESP_Q23g_num","TX_RESP_Q23h_num","TX_RESP_Q23i_num","TX_RESP_Q19_num","TX_RESP_Q20_num","Q01_masculino","Q01_feminino","Q04_Branca","Q04_Preta","Q04_Parda","Q04_Amarela","Q04_Indigena"
2023,3,31,6324457,2,61437725,1,1,1550079,12,52444262,1,1,1,1,1,4,4,5,4,4,5,"EABEDECADBAED","EAACACDBBCECA","ABAECDAABEDAA","EDDCCACBACDCC",1,1,0,"63244572112",1,"1.556067",0.388298,335.713954,21.392643,1,1.247821,0.377084,319.708001,21.076103,1,1,4.13,3,1,"B","C","A","C","A","A","A",".","B","B","A","A","A","A","B","A","B","C","C","C","C","A","B","B","B","A","D","B","B","B","D","B","B","B","A","A","A","A","B","A","A","B","A","C","B","A","A","A","C","A","D","D","D","A","A","A","B","B","A","B","A","B","B","A","B","A","B","A","A","A","C","A",1,2,3,3,3,3,3,1,4,4,4,4,4,4,3,3,4,3,4,3,3,4,3,4,3,4,4,4,1,1,0,1,0,0,1,0,0
2023,3,31,6324457,2,61437725,1,1,1550079,12,52444263,1,1,1,1,1,7,7,1,7,7,1,"BDBDDBDADBBAB","DEBCDEBDCECCC","BCBBAECBDCCCB","ABEDCBDBDBBED",1,1,0,"63244572112",1,"-0.423726",0.443288,226.6405,24.422227,1,-1.06512,0.73143,190.432345,40.881325,1,1,4.83,4,1,"B","C","A","C","A","A","A","B","B","B","A","A","A","B","F","B","C","C","C","C","B","A","A","B","C","A","C","B","B","B","D","A","B","B","B","B","A","B","B","B","B","B","A","C","B","A","A","A","B","A","D","A","B","A","A","A","B","B","B","A","A","B","A","B","A","C","B","A","A","A","C","B",2,3,3,3,3,2,2,1,4,1,2,4,4,4,3,3,3,4,4,3,4,3,4,2,3,4,4,4,1,1,0,1,0,0,1,0,0
2023,3,31,6324457,2,61437725,1,1,1550079,12,52444264,1,1,1,1,1,6,6,7,6,6,7,"ECCBDCDBDBECD","CDCAABBCCCDEA","ACCEABCDCAEBE","AACDBCABCBDBA",1,1,0,"63244572112",1,"0.631557",0.363989,284.779589,20.053378,1,0.222754,0.541055,262.414621,30.240823,1,1,5.33,5,1,"A","C","A","A","A","A","A","D","B","B","B","A","B","D","F","B","B","C","C","C","C","B","B","B","B","B","D","B","B","B","D","B","B","B","B","B","A","B","B","B","A","B","A","C","B","A","A","A","B","A","C","D","C","B","C","A","B","B","B","C","B","B","B","A","A","B","B","B","B","A","C","A",2,2,3,3,3,3,2,1,3,4,3,3,2,4,3,3,3,2,3,3,3,4,4,3,3,3,3,4,1,1,1,0,1,0,0,0,0
2023,3,31,6324457,2,61437725,1,1,1550079,12,52444265,1,1,1,1,1,5,5,6,5,5,6,"EEECDCDABDACD","DECAECDBDDBCA","CCDABACCACBDC","ADEEACCACACAE",1,1,0,"63244572112",1,"0.034462",0.404328,251.883617,22.275789,1,0.317662,0.574637,267.71925,32.1178,1,1,5.47,5,1,"B","B","A","C","A","A","A","D","B","B","A","A","B","D","B","B","C","C","C","C","C","A","B","B","B","A","D","C","B","B","D","B","B","A","B","B","B","B","B","B","A","B",".","C","B","A","A","A","C","A","C","A","D","A","B","C","C","C","C","C","B","A","B","A","B","A","C","A","A","A","C","A",2,3,3,3,3,3,3,1,3,1,4,4,3,2,2,2,2,2,3,4,3,4,3,4,2,4,4,4,1,1,0,1,0,0,1,0,0
2023,3,31,6324457,2,61437725,1,1,1550079,12,52444266,1,1,1,1,1,8,1,3,8,1,3,"BEDCDACACEECC","BCEADBDCBAABD","CCDADDABAEECC","DBACCEADDBBAB",1,1,0,"63244572112",1,"0.849087",0.314728,296.764048,17.339424,1,0.773401,0.553728,293.191563,30.949147,1,1,4.83,4,1,"A","B","A","B","A","A","A","E","B","B","A","A","B","B","A","B","B","C","C","C","C","A","B","B","D","A","D","B","B","B","D","A","B","B","B","B","A","B","B","B","C","B","A","C","C","A","A","A","C","B","D","D","D","A","A","B","B","B","B","B","B","A","A","A","A","B","B","B","A","A","C","A",2,2,3,3,3,3,3,2,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,1,1,1,0,0,1,0,0,0
2023,3,31,6324457,2,61437725,1,1,1550079,12,52444267,1,0,0,0,0,9,2,4,9,2,4,".............",".............",".............",".............",0,0,0,"63244572112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6324457,2,61437725,1,1,1550079,12,52444268,1,0,0,0,0,10,3,5,10,3,5,".............",".............",".............",".............",0,0,0,"63244572112",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,3,31,6324457,2,61437725,1,1,1621220,12,52444269,1,1,1,1,1,20,6,2,20,6,2,"BABCECDBDBECD","EAEDCCCAACBEB","EBCEBABBBAEBB","AEDDACABCECCD",1,1,0,"63244572112",1,"0.001987",0.396068,250.094461,21.820718,1,0.229543,0.516357,262.794074,28.860395,1,1,4.53,4,1,"B","B","A","C","A","A","A","D","B","B","A","A","B","D","C","A","B","C","C","C","A","B","B","B","B","A","C","B","B","A","D","B","B","A","B","B","A","B","B","A","A","A","A","A","A","A","A","A","B","B","C","A","D","A","A","D","B","B","B","C","A","A","A","B","B","B","B","B","B","B","C","A",1,2,3,3,3,1,2,2,3,1,4,4,4,1,3,3,3,2,4,4,4,3,3,3,3,3,3,3,1,1,0,1,0,0,1,0,0
2023,3,31,6324457,2,61437725,1,1,1621220,12,52444270,1,1,1,1,1,19,5,1,19,5,1,"EBBAACDDBBEBD","EBBCEBDACACBC","CBBCAAABCCCBD","ECDDCCABDACCD",1,1,0,"63244572112",1,"-0.050881",0.390662,247.181785,21.522883,1,-0.113964,0.734506,243.594668,41.05325,1,1,5.52,6,1,"B","B","A","A","A","A","A","D","B","B","A","A","B","F","D","B","C","C","C","C","C","B","B","B","B","B","C","D","B","C","D","B","B","A","B","A","A","B","B","B","B","A","B","F","D","A","A","A","A","A","C","A","C","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","A",2,3,3,3,3,3,1,1,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,0,0,0,0
2023,3,31,6324457,2,61437725,1,1,1621220,12,52444271,1,1,1,1,1,1,1,2,1,1,2,"EEDCDACDCCBBE","EEDDEDDCBBCAB","CEDDDBDCBCCCA","BBDCBBDCADDBD",1,1,0,"63244572112",1,"0.708681",0.347119,289.028609,19.123953,1,0.174631,0.517873,259.724914,28.945128,1,1,3.79,2,1,"B","B","A","A","A","A","A","D","B","B","A","A","B","F","F","B","B","C","B","C","B","B","B","B","B","A","C","B","B","A","C","B","B","B","A","A","A","B","A","A","A","A","A","A","C","A","A","A","C","A","C","A","D","A","B","C","C","C","C","B","B","B","B","B","B","B","B","B","B","B","C","A",2,2,3,2,3,2,3,1,3,1,4,4,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,0,1,1,0,0,0,0
