"Variavel","N_Total","N_NA","Pct_NA"
"TX_RESP_Q21a_num",230,37,16.09
"TX_RESP_Q21b_num",230,36,15.65
"TX_RESP_Q21d_num",230,36,15.65
"TX_RESP_Q21e_num",230,36,15.65
"TX_RESP_Q20_num",230,35,15.22
"TX_RESP_Q21c_num",230,34,14.78
"TX_RESP_Q19_num",230,34,14.78
"TX_RESP_Q10d_num",230,27,11.74
"TX_RESP_Q23d_num",230,27,11.74
"TX_RESP_Q22b_num",230,26,11.3
"TX_RESP_Q22f_num",230,26,11.3
"TX_RESP_Q22h_num",230,26,11.3
"TX_RESP_Q23a_num",230,26,11.3
"TX_RESP_Q23e_num",230,26,11.3
"TX_RESP_Q23f_num",230,26,11.3
"TX_RESP_Q23g_num",230,26,11.3
"TX_RESP_Q23i_num",230,26,11.3
"TX_RESP_Q10a_num",230,25,10.87
"TX_RESP_Q10b_num",230,25,10.87
"TX_RESP_Q10c_num",230,25,10.87
"TX_RESP_Q10e_num",230,25,10.87
"TX_RESP_Q10f_num",230,25,10.87
"TX_RESP_Q22a_num",230,25,10.87
"TX_RESP_Q22c_num",230,25,10.87
"TX_RESP_Q22d_num",230,25,10.87
"TX_RESP_Q22e_num",230,25,10.87
"TX_RESP_Q22g_num",230,25,10.87
"TX_RESP_Q23b_num",230,25,10.87
"TX_RESP_Q23c_num",230,25,10.87
"TX_RESP_Q23h_num",230,25,10.87
"TX_RESP_Q01",230,0,0
"TX_RESP_Q02",230,0,0
"TX_RESP_Q03",230,0,0
"TX_RESP_Q04",230,0,0
"TX_RESP_Q05a",230,0,0
"TX_RESP_Q05b",230,0,0
"TX_RESP_Q05c",230,0,0
"TX_RESP_Q06",230,0,0
"TX_RESP_Q07a",230,0,0
"TX_RESP_Q07b",230,0,0
"TX_RESP_Q07c",230,0,0
"TX_RESP_Q07d",230,0,0
"TX_RESP_Q07e",230,0,0
"TX_RESP_Q08",230,0,0
"TX_RESP_Q09",230,0,0
"TX_RESP_Q10a",230,0,0
"TX_RESP_Q10b",230,0,0
"TX_RESP_Q10c",230,0,0
"TX_RESP_Q10d",230,0,0
"TX_RESP_Q10e",230,0,0
"TX_RESP_Q10f",230,0,0
"TX_RESP_Q11a",230,0,0
"TX_RESP_Q11b",230,0,0
"TX_RESP_Q11c",230,0,0
"TX_RESP_Q12a",230,0,0
"TX_RESP_Q12b",230,0,0
"TX_RESP_Q12c",230,0,0
"TX_RESP_Q12d",230,0,0
"TX_RESP_Q12e",230,0,0
"TX_RESP_Q12f",230,0,0
"TX_RESP_Q12g",230,0,0
"TX_RESP_Q13a",230,0,0
"TX_RESP_Q13b",230,0,0
"TX_RESP_Q13c",230,0,0
"TX_RESP_Q13d",230,0,0
"TX_RESP_Q13e",230,0,0
"TX_RESP_Q13f",230,0,0
"TX_RESP_Q13g",230,0,0
"TX_RESP_Q13h",230,0,0
"TX_RESP_Q13i",230,0,0
"TX_RESP_Q14",230,0,0
"TX_RESP_Q15a",230,0,0
"TX_RESP_Q15b",230,0,0
"TX_RESP_Q16",230,0,0
"TX_RESP_Q17",230,0,0
"TX_RESP_Q18",230,0,0
"TX_RESP_Q19",230,0,0
"TX_RESP_Q20",230,0,0
"TX_RESP_Q21a",230,0,0
"TX_RESP_Q21b",230,0,0
"TX_RESP_Q21c",230,0,0
"TX_RESP_Q21d",230,0,0
"TX_RESP_Q21e",230,0,0
"TX_RESP_Q22a",230,0,0
"TX_RESP_Q22b",230,0,0
"TX_RESP_Q22c",230,0,0
"TX_RESP_Q22d",230,0,0
"TX_RESP_Q22e",230,0,0
"TX_RESP_Q22f",230,0,0
"TX_RESP_Q22g",230,0,0
"TX_RESP_Q22h",230,0,0
"TX_RESP_Q23a",230,0,0
"TX_RESP_Q23b",230,0,0
"TX_RESP_Q23c",230,0,0
"TX_RESP_Q23d",230,0,0
"TX_RESP_Q23e",230,0,0
"TX_RESP_Q23f",230,0,0
"TX_RESP_Q23g",230,0,0
"TX_RESP_Q23h",230,0,0
"TX_RESP_Q23i",230,0,0
"TX_RESP_Q24",230,0,0
"TX_RESP_Q25",230,0,0
