Métrica,Escola_A,Escola_B,Diferença
ID Escola,61432986,61466120,─
Nome,Escola A (ID: 61432986),Escola B (ID: 61466120),─
N Alunos,173,307,134
─── MATEMÁTICA ───,────────────,────────────,────────────
Média MT,286.87,282.73,-4.13
Desvio Padrão MT,41.65,49.64,7.99
Mín MT,187.35,167.82,-19.53
Q1 MT,256.6,248.63,-7.97
Mediana MT,286.48,283.35,-3.13
Q3 MT,309.76,320.68,10.92
Máx MT,418.73,414.2,-4.53
─── LÍNGUA PORTUGUESA ───,────────────,────────────,────────────
Média LP,1972.46,272.45,-1700.01
Desvio Padrão LP,20325.03,52.84,-20272.18
Mín LP,157.34,147.53,-9.82
Q1 LP,265.22,234.94,-30.28
Mediana LP,294.22,276.25,-17.97
Q3 LP,320.72,312.25,-8.47
Máx LP,245878,380.42,-245497.58
─── INSE (Socioeconômico) ───,────────────,────────────,────────────
INSE Médio,5.07,5.59,0.53
Desvio Padrão INSE,0.82,0.73,-0.1
