ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,CATEGORIA_DESEMPENHO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO
61433439,Pública,Interior,Urbana,ALTO,1,320.73,257.23,4.72
61416721,Pública,Interior,Urbana,ALTO,1,300.59,277.36,4.58
61399481,Pública,Interior,Urbana,ALTO,1,291.15,283.63,5.35
61428136,Pública,Interior,Urbana,ALTO,1,291.08,282.16,4.45
61425514,Pública,Interior,Urbana,ALTO,1,289.76,284.8,4.69
61439356,Pública,Interior,Urbana,ALTO,1,288.79,285.63,5.09
61449670,Pública,Interior,Urbana,ALTO,1,288.18,286.66,5.04
61400009,Pública,Interior,Urbana,ALTO,1,287.52,285.67,4.89
61412125,Pública,Interior,Urbana,ALTO,1,286.4,286.94,5.64
61448623,Pública,Interior,Urbana,ALTO,1,285.87,288.28,4.98
61405579,Pública,Interior,Urbana,ALTO,1,285.83,287.68,5.07
61400172,Pública,Interior,Urbana,ALTO,1,285.4,287.64,5.01
61433509,Pública,Interior,Urbana,ALTO,1,284.78,288.03,5.11
61437699,Pública,Interior,Urbana,ALTO,1,284.64,289.12,5.26
61416186,Pública,Interior,Urbana,ALTO,1,280.62,292.13,5.11
61466148,Pública,Interior,Urbana,BAIXO,1,267.45,249.23,5.01
61448159,Pública,Interior,Urbana,BAIXO,1,265.89,251.27,4.36
61408016,Pública,Interior,Urbana,BAIXO,1,265.34,250.38,4.52
61450162,Pública,Interior,Urbana,BAIXO,1,264.51,253.1,5.16
61441552,Pública,Interior,Urbana,BAIXO,1,264.37,253.03,4.79
61449143,Pública,Interior,Urbana,BAIXO,1,264.36,252.12,5.12
61412893,Pública,Interior,Urbana,BAIXO,1,264.27,252.77,5.11
61449537,Pública,Interior,Urbana,BAIXO,1,263.87,252.32,4.43
61421836,Pública,Interior,Urbana,BAIXO,1,263.39,253.91,4.8
61441601,Pública,Interior,Urbana,BAIXO,1,262.45,255.03,4.67
61412841,Pública,Interior,Urbana,BAIXO,1,261.8,255.14,4.51
61424832,Pública,Interior,Rural,BAIXO,1,260.01,257.7,4.3
61438217,NA,NA,NA,BAIXO,1,240.94,195.25,5.43
61400070,Pública,Interior,Urbana,BAIXO,1,218.83,202.72,5.04
61442017,Pública,Interior,Urbana,ALTO,2,414.5,353.19,6.12
61424794,Pública,Capital,Urbana,ALTO,2,386.14,353.1,5.82
61442075,Pública,Capital,Urbana,ALTO,2,377.07,343.52,6.24
61459800,Pública,Interior,Urbana,ALTO,2,375.14,334.15,6.07
61417215,Pública,Interior,Urbana,ALTO,2,372.58,340.26,5.53
61450177,NA,NA,NA,ALTO,2,371.35,345.32,6.52
61438279,Pública,Interior,Urbana,ALTO,2,370.92,346.7,5.49
61417201,NA,NA,NA,ALTO,2,366.07,344.5,6.17
61470062,NA,NA,NA,ALTO,2,363.68,372.29,5.79
61426242,Pública,Interior,Urbana,ALTO,2,363.58,343.79,5.97
61412892,Pública,Interior,Urbana,ALTO,2,362.35,340.37,5.64
61433973,Pública,Interior,Urbana,ALTO,2,361.87,342.86,5.8
61442056,NA,NA,NA,ALTO,2,359.32,346.11,6.2
61399418,Pública,Interior,Urbana,ALTO,2,358.21,346.72,5.57
61442026,Pública,Interior,Urbana,ALTO,2,355.86,345.82,5.43
61441610,Pública,Interior,Urbana,BAIXO,3,278.72,234.81,3.71
61459309,Pública,Interior,Rural,BAIXO,3,263.03,253.97,3.98
61433588,Pública,Interior,Rural,BAIXO,3,260.93,257.03,3.85
61399662,Pública,Interior,Urbana,BAIXO,3,233.37,219.46,3.97
61417096,Pública,Interior,Urbana,BAIXO,3,229.17,225.15,4.27
61459766,Pública,Interior,Rural,BAIXO,3,228.7,221.61,4.04
61448158,Pública,Interior,Urbana,BAIXO,3,226.81,225.91,3.85
61426084,Pública,Interior,Rural,BAIXO,3,226.45,218.28,4.27
61438237,Pública,Interior,Rural,BAIXO,3,226.07,220.49,3.89
61470491,Pública,Interior,Urbana,BAIXO,3,226.03,210.95,4.15
61425004,Pública,Interior,Urbana,BAIXO,3,225.86,219.04,4.28
61459394,Pública,Interior,Rural,BAIXO,3,224.71,206.69,3.99
61400006,Pública,Interior,Urbana,BAIXO,3,224.08,227.35,3.56
61428646,Pública,Interior,Urbana,BAIXO,3,221.21,222.31,4.39
61412203,Pública,Interior,Urbana,BAIXO,3,219.5,215.95,4.45
61425129,Pública,Interior,Urbana,BAIXO,3,219.02,214.28,4.44
