"Variavel","Correlacao_Matematica","Correlacao_Portugues"
"PROFICIENCIA_LP_SAEB",0.633522056291118,1
"PROFICIENCIA_MT_SAEB",1,0.633522056291118
"TX_RESP_Q01",0.0566432308638545,0.108148354876266
"TX_RESP_Q02",-0.0992097912386053,-0.0817701489590125
"TX_RESP_Q04",-0.151745950740744,-0.239897379054378
"TX_RESP_Q05a",-0.0640579378653879,-0.187011509285427
"TX_RESP_Q05c",-0.124446807487183,-0.0254778349185839
"TX_RESP_Q06",-0.0432501807559684,-0.0916440938024952
"TX_RESP_Q07a",0.0134243564754769,0.0154496968154172
"TX_RESP_Q07b",0.0945003002062691,0.163982421941787
"TX_RESP_Q07c",0.0780075239794901,0.0302988857740797
"TX_RESP_Q07d",0.0285950724869603,-0.0499970548291372
"TX_RESP_Q07e",-0.0901484192688962,-0.0703946302085589
"TX_RESP_Q08",0.197627430926745,0.223921574181983
"TX_RESP_Q09",0.172575122604063,0.199252094466259
"TX_RESP_Q10a",-0.108533337286403,-0.157464277032526
"TX_RESP_Q10b",-0.0646311971315956,0.0313793009297867
"TX_RESP_Q10c",-0.110814988732277,-0.142273312742336
"TX_RESP_Q10d",-0.251768035966132,-0.134016706077308
"TX_RESP_Q10e",0.0431369867290276,0.00968558540260068
"TX_RESP_Q10f",-0.0294511861724286,-0.0704957559669302
"TX_RESP_Q11a",0.16599285089978,0.174662323610648
"TX_RESP_Q11b",0.0701481568345099,0.111800544053142
"TX_RESP_Q11c",0.145420912167667,0.133846740632084
"TX_RESP_Q12a",0.0537130410958735,0.153994951202635
"TX_RESP_Q12b",0.00562239569165794,0.0302319050946554
"TX_RESP_Q12c",0.0392567290611827,0.097501474220656
"TX_RESP_Q12d",0.0137769611086568,0.091428966464663
"TX_RESP_Q12e",-0.117660596411165,0.0385028693916915
"TX_RESP_Q12f",0.0529589212267445,0.19597201113793
"TX_RESP_Q12g",0.0761274388834658,0.182986758949485
"TX_RESP_Q13a",0.0327228573220494,0.237090338400944
"TX_RESP_Q13b",-0.0321351582474548,0.078226825415183
"TX_RESP_Q13c",-0.110766223414189,0.0739925122103615
"TX_RESP_Q13d",0.0634450617347688,0.118104967039381
"TX_RESP_Q13e",-0.0675655293961197,0.0145618702698542
"TX_RESP_Q13f",-0.00559028138776964,0.00230999844555499
"TX_RESP_Q13g",-0.170575095008796,-0.0558137087096904
"TX_RESP_Q13h",0.228636636874159,0.247836222118826
"TX_RESP_Q13i",0.0962423937929474,0.0249519043475651
"TX_RESP_Q14",-0.0650730617560162,-0.0789464858432784
"TX_RESP_Q15a",-0.117332727800103,-0.108376692227961
"TX_RESP_Q15b",0.00844046585785818,-0.0883175426712061
"TX_RESP_Q16",-0.0419710175913518,-0.0430560069942939
"TX_RESP_Q17",-0.083979183890109,-0.123624516606788
"TX_RESP_Q18",0.143337211972834,0.149133137665787
"TX_RESP_Q19",-0.191301028884506,-0.149814004245235
"TX_RESP_Q20",0.0133758446883311,-0.149194291565738
"TX_RESP_Q21a",0.0126970224490469,0.110043080215931
"TX_RESP_Q21b",0.0682566802266974,0.0997806631188754
"TX_RESP_Q21c",-0.0895770103037083,0.0450767349107039
"TX_RESP_Q21d",0.139443434615357,0.110079577140529
"TX_RESP_Q21e",0.18377702382726,0.316858520244691
"TX_RESP_Q22a",0.225747373975382,0.291575762627928
"TX_RESP_Q22b",0.0674624944499344,0.209051665993796
"TX_RESP_Q22c",0.125967590620404,0.12426148042087
"TX_RESP_Q22d",0.0466790904218022,0.0766357021442891
"TX_RESP_Q22e",0.151423765734252,0.155830109425289
"TX_RESP_Q22f",0.0109517255626039,0.124371886805746
"TX_RESP_Q22g",-0.0357411923397603,0.0885742180768782
"TX_RESP_Q22h",0.171372857423289,0.134689934661333
"TX_RESP_Q23a",0.158201869041228,0.235459702282337
"TX_RESP_Q23b",0.300863829240504,0.402785886869196
"TX_RESP_Q23c",0.0633021462477058,0.180792965600911
"TX_RESP_Q23d",0.043204125093282,0.106225135205081
"TX_RESP_Q23e",-0.143793955087212,-0.0315049799810768
"TX_RESP_Q23f",-0.248010958055666,-0.20787054177988
"TX_RESP_Q23g",0.218129087671427,0.282246836435453
"TX_RESP_Q23h",0.0720632037333131,0.168671819362947
"TX_RESP_Q23i",0.0609576019305124,0.126797212135232
"TX_RESP_Q24",-0.130751556839196,-0.267087475694019
"TX_RESP_Q25",-0.15122483140796,-0.155483078709814
